Istasyon_No|Istasyon_Adi|YIL|AY|AYLIK_ORTALAMA_RUZGAR_HIZI
17186|MAN?SA|1991|10|1.4
17186|MAN?SA|1991|11|1.5
17186|MAN?SA|1991|12|2.3
17186|MAN?SA|1992|1|1.6
17186|MAN?SA|1992|2|1.9
17186|MAN?SA|1992|3|1.9
17186|MAN?SA|1992|4|1.7
17186|MAN?SA|1992|5|2.3
17186|MAN?SA|1992|6|1.9
17186|MAN?SA|1992|7|2.2
17186|MAN?SA|1992|8|2.3
17186|MAN?SA|1992|9|2.3
17186|MAN?SA|1992|10|1.7
17186|MAN?SA|1992|11|1.4
17186|MAN?SA|1992|12|2.0
17186|MAN?SA|1993|1|1.9
17186|MAN?SA|1993|2|2.9
17186|MAN?SA|1993|3|1.9
17186|MAN?SA|1993|4|1.9
17186|MAN?SA|1993|5|1.5
17186|MAN?SA|1993|6|2.0
17186|MAN?SA|1993|7|2.4
17186|MAN?SA|1993|8|2.5
17186|MAN?SA|1993|9|1.8
17186|MAN?SA|1993|10|1.4
17186|MAN?SA|1993|11|2.1
17186|MAN?SA|1993|12|1.3
17186|MAN?SA|1994|1|1.2
17186|MAN?SA|1994|2|1.5
17186|MAN?SA|1994|3|2.1
17186|MAN?SA|1994|4|1.7
17186|MAN?SA|1994|5|1.6
17186|MAN?SA|1994|6|2.3
17186|MAN?SA|1994|7|2.4
17186|MAN?SA|1994|8|2.1
17186|MAN?SA|1994|9|1.6
17186|MAN?SA|1994|10|1.3
17186|MAN?SA|1994|11|2.0
17186|MAN?SA|1994|12|1.1
17186|MAN?SA|1995|1|1.9
17186|MAN?SA|1995|2|1.7
17186|MAN?SA|1995|3|2.1
17186|MAN?SA|1995|4|1.4
17186|MAN?SA|1995|5|1.9
17186|MAN?SA|1995|6|1.5
17186|MAN?SA|1995|7|2.2
17186|MAN?SA|1995|8|1.8
17186|MAN?SA|1995|9|1.5
17186|MAN?SA|1995|10|1.9
17186|MAN?SA|1995|11|1.4
17186|MAN?SA|1995|12|2.1
17186|MAN?SA|1996|1|1.5
17186|MAN?SA|1996|2|1.9
17186|MAN?SA|1996|3|2.2
17186|MAN?SA|1996|4|1.5
17186|MAN?SA|1996|5|1.5
17186|MAN?SA|1996|6|2.1
17186|MAN?SA|1996|7|2.1
17186|MAN?SA|1996|8|1.8
17186|MAN?SA|1996|9|1.6
17186|MAN?SA|1996|10|1.2
17186|MAN?SA|1996|11|1.2
17186|MAN?SA|1996|12|1.8
17186|MAN?SA|1997|1|1.6
17186|MAN?SA|1997|2|1.6
17186|MAN?SA|1997|3|2.1
17186|MAN?SA|1997|4|1.5
17186|MAN?SA|1997|5|1.7
17186|MAN?SA|1997|6|1.6
17186|MAN?SA|1997|7|1.9
17186|MAN?SA|1997|8|2.0
17186|MAN?SA|1997|9|1.9
17186|MAN?SA|1997|10|1.8
17186|MAN?SA|1997|11|0.7
17186|MAN?SA|1997|12|1.3
17186|MAN?SA|1998|1|1.0
17186|MAN?SA|1998|2|1.6
17186|MAN?SA|1998|3|1.9
17186|MAN?SA|1998|4|1.4
17186|MAN?SA|1998|5|1.4
17186|MAN?SA|1998|6|1.7
17186|MAN?SA|1998|7|2.0
17186|MAN?SA|1998|8|2.0
17186|MAN?SA|1998|9|1.6
17186|MAN?SA|1998|10|1.2
17186|MAN?SA|1998|11|1.1
17186|MAN?SA|1998|12|1.6
17186|MAN?SA|1999|1|1.4
17186|MAN?SA|1999|2|1.3
17186|MAN?SA|1999|3|1.2
17186|MAN?SA|1999|4|1.4
17186|MAN?SA|1999|5|1.7
17186|MAN?SA|1999|6|1.8
17186|MAN?SA|1999|7|1.8
17186|MAN?SA|1999|8|1.7
17186|MAN?SA|1999|9|1.1
17186|MAN?SA|1999|10|1.2
17186|MAN?SA|1999|11|1.5
17186|MAN?SA|1999|12|1.3
17186|MAN?SA|2000|1|1.5
17186|MAN?SA|2000|2|1.6
17186|MAN?SA|2000|3|1.6
17186|MAN?SA|2000|4|1.3
17186|MAN?SA|2000|5|1.5
17186|MAN?SA|2000|6|2.1
17186|MAN?SA|2000|7|1.7
17186|MAN?SA|2000|8|2.1
17186|MAN?SA|2000|9|1.6
17186|MAN?SA|2000|10|1.3
