Istasyon_No|Istasyon_Adi|YIL|AY|TOPLAM_ACIK_YUZEY_BUHARLASMASI_mm
17237|DEN?ZL?|2010|8|222.8
17237|DEN?ZL?|2010|9|155.3
17237|DEN?ZL?|2010|10|70.0
17237|DEN?ZL?|2010|11|61.8
17237|DEN?ZL?|2010|12|12.2
17237|DEN?ZL?|2010|13|1171.0
17237|DEN?ZL?|2011|3|5.0
17237|DEN?ZL?|2011|4|71.6
17237|DEN?ZL?|2011|5|102.0
17237|DEN?ZL?|2011|6|179.5
17237|DEN?ZL?|2011|7|250.6
17237|DEN?ZL?|2011|8|220.5
17237|DEN?ZL?|2011|9|166.3
17237|DEN?ZL?|2011|10|84.4
17237|DEN?ZL?|2011|11|41.6
17237|DEN?ZL?|2011|12|0.5
17237|DEN?ZL?|2011|13|1122.0
17237|DEN?ZL?|2012|3|0.7
17237|DEN?ZL?|2012|4|108.5
17237|DEN?ZL?|2012|5|113.6
17237|DEN?ZL?|2012|6|203.8
17237|DEN?ZL?|2012|7|254.0
17237|DEN?ZL?|2012|8|221.2
17237|DEN?ZL?|2012|9|162.7
17237|DEN?ZL?|2012|10|85.5
17237|DEN?ZL?|2012|11|33.5
17237|DEN?ZL?|2012|12|2.2
17237|DEN?ZL?|2012|13|1185.7
17237|DEN?ZL?|2013|3|3.0
17237|DEN?ZL?|2013|4|98.1
17237|DEN?ZL?|2013|5|168.3
17237|DEN?ZL?|2013|6|214.4
17237|DEN?ZL?|2013|7|229.6
17237|DEN?ZL?|2013|8|210.6
17237|DEN?ZL?|2013|9|147.3
17237|DEN?ZL?|2013|10|89.6
17237|DEN?ZL?|2013|11|36.3
17237|DEN?ZL?|2013|12|1.6
17237|DEN?ZL?|2013|13|1198.8
17237|DEN?ZL?|2014|1|0.0
17237|DEN?ZL?|2014|4|105.3
17237|DEN?ZL?|2014|5|132.7
17237|DEN?ZL?|2014|6|158.1
17237|DEN?ZL?|2014|7|234.2
17237|DEN?ZL?|2014|8|207.4
17237|DEN?ZL?|2014|9|118.2
17237|DEN?ZL?|2014|10|69.3
17237|DEN?ZL?|2014|11|33.6
17237|DEN?ZL?|2014|12|16.2
17237|DEN?ZL?|2014|13|1075.0
17237|DEN?ZL?|2015|4|95.4
17237|DEN?ZL?|2015|5|151.0
