Istasyon_No|Istasyon_Adi|YIL|AY|ORTALAMA_NEM_%
17186|MAN?SA|1984|13|61.4
17186|MAN?SA|1985|1|73.4
17186|MAN?SA|1985|2|66.8
17186|MAN?SA|1985|3|70.7
17186|MAN?SA|1985|4|58.1
17186|MAN?SA|1985|5|56.9
17186|MAN?SA|1985|6|49.9
17186|MAN?SA|1985|7|42.9
17186|MAN?SA|1985|8|50.0
17186|MAN?SA|1985|9|49.4
17186|MAN?SA|1985|10|61.2
17186|MAN?SA|1985|11|71.2
17186|MAN?SA|1985|12|78.2
17186|MAN?SA|1985|13|60.7
17186|MAN?SA|1986|1|76.5
17186|MAN?SA|1986|2|70.8
17186|MAN?SA|1986|3|70.2
17186|MAN?SA|1986|4|58.3
17186|MAN?SA|1986|5|52.5
17186|MAN?SA|1986|6|51.6
17186|MAN?SA|1986|7|47.2
17186|MAN?SA|1986|8|47.1
17186|MAN?SA|1986|9|52.5
17186|MAN?SA|1986|10|60.2
17186|MAN?SA|1986|11|67.7
17186|MAN?SA|1986|12|72.1
17186|MAN?SA|1986|13|60.5
17186|MAN?SA|1987|1|74.7
17186|MAN?SA|1987|2|73.6
17186|MAN?SA|1987|3|66.2
17186|MAN?SA|1987|4|62.8
17186|MAN?SA|1987|5|59.4
17186|MAN?SA|1987|6|50.5
17186|MAN?SA|1987|7|44.7
17186|MAN?SA|1987|8|46.3
17186|MAN?SA|1987|9|46.8
17186|MAN?SA|1987|10|60.8
17186|MAN?SA|1987|11|77.8
17186|MAN?SA|1987|12|77.6
17186|MAN?SA|1987|13|61.7
17186|MAN?SA|1988|1|75.1
17186|MAN?SA|1988|2|73.1
17186|MAN?SA|1988|3|71.7
17186|MAN?SA|1988|4|68.4
17186|MAN?SA|1988|5|56.8
17186|MAN?SA|1988|6|47.1
17186|MAN?SA|1988|7|41.5
17186|MAN?SA|1988|8|43.1
17186|MAN?SA|1988|9|46.6
17186|MAN?SA|1988|10|60.4
17186|MAN?SA|1988|11|71.1
17186|MAN?SA|1988|12|77.9
17186|MAN?SA|1988|13|61.0
17186|MAN?SA|1989|1|62.3
17186|MAN?SA|1989|2|58.2
17186|MAN?SA|1989|3|67.0
17186|MAN?SA|1989|4|50.8
17186|MAN?SA|1989|5|56.2
17186|MAN?SA|1989|6|47.8
17186|MAN?SA|1989|7|44.8
17186|MAN?SA|1989|8|45.3
17186|MAN?SA|1989|9|51.1
17186|MAN?SA|1989|10|64.3
17186|MAN?SA|1989|11|73.1
17186|MAN?SA|1989|12|79.8
17186|MAN?SA|1989|13|58.4
17186|MAN?SA|1990|1|71.3
17186|MAN?SA|1990|2|64.7
17186|MAN?SA|1990|3|54.2
17186|MAN?SA|1990|4|61.4
17186|MAN?SA|1990|5|51.6
17186|MAN?SA|1990|6|44.4
17186|MAN?SA|1990|7|42.6
17186|MAN?SA|1990|8|44.3
17186|MAN?SA|1990|9|52.4
17186|MAN?SA|1990|10|60.3
17186|MAN?SA|1990|11|69.9
17186|MAN?SA|1990|12|80.4
17186|MAN?SA|1990|13|58.1
17186|MAN?SA|1991|1|75.8
17186|MAN?SA|1991|2|68.2
17186|MAN?SA|1991|3|67.9
17186|MAN?SA|1991|4|65.8
17186|MAN?SA|1991|5|62.6
17186|MAN?SA|1991|6|50.1
17186|MAN?SA|1991|7|49.5
17186|MAN?SA|1991|8|47.8
17186|MAN?SA|1991|9|52.8
17186|MAN?SA|1991|10|62.9
17186|MAN?SA|1991|11|73.5
17186|MAN?SA|1991|12|75.3
17186|MAN?SA|1991|13|62.7
17186|MAN?SA|1992|1|69.4
17186|MAN?SA|1992|2|62.8
17186|MAN?SA|1992|3|62.2
17186|MAN?SA|1992|4|60.7
17186|MAN?SA|1992|5|50.8
17186|MAN?SA|1992|6|51.1
17186|MAN?SA|1992|7|48.8
17186|MAN?SA|1992|8|45.2
17186|MAN?SA|1992|9|43.9
17186|MAN?SA|1992|10|55.7
17186|MAN?SA|1992|11|66.4
17186|MAN?SA|1992|12|73.7
17186|MAN?SA|1992|13|57.5
17186|MAN?SA|1993|1|71.9
17186|MAN?SA|1993|2|66.1
17186|MAN?SA|1993|3|63.7
17186|MAN?SA|1993|4|60.0
17186|MAN?SA|1993|5|62.7
17186|MAN?SA|1993|6|42.6
17186|MAN?SA|1993|7|39.4
17186|MAN?SA|1993|8|44.0
17186|MAN?SA|1993|9|46.3
17186|MAN?SA|1993|10|55.9
17186|MAN?SA|1993|11|65.3
17186|MAN?SA|1993|12|78.0
17186|MAN?SA|1993|13|58.0
17186|MAN?SA|1994|1|79.6
17186|MAN?SA|1994|2|76.3
17186|MAN?SA|1994|3|65.5
17186|MAN?SA|1994|4|61.6
17186|MAN?SA|1994|5|53.7
17186|MAN?SA|1994|6|43.3
17186|MAN?SA|1994|7|41.8
17186|MAN?SA|1994|8|41.2
17186|MAN?SA|1994|9|48.0
17186|MAN?SA|1994|10|68.7
17186|MAN?SA|1994|11|67.8
17186|MAN?SA|1994|12|79.4
17186|MAN?SA|1994|13|60.5
17186|MAN?SA|1995|1|75.5
17186|MAN?SA|1995|2|70.5
17186|MAN?SA|1995|3|69.0
17186|MAN?SA|1995|4|66.9
17186|MAN?SA|1995|5|52.7
17186|MAN?SA|1995|6|47.6
17186|MAN?SA|1995|7|45.9
17186|MAN?SA|1995|8|47.8
17186|MAN?SA|1995|9|54.5
17186|MAN?SA|1995|10|60.1
17186|MAN?SA|1995|11|72.9
17186|MAN?SA|1995|12|71.5
