Istasyon_No|Istasyon_Adi|YIL|AY|MAKSIMUM_SICAKLIK_C
17186|MAN?SA|1980|13|44.0
17186|MAN?SA|1981|1|15.6
17186|MAN?SA|1981|2|19.7
17186|MAN?SA|1981|3|26.5
17186|MAN?SA|1981|4|27.2
17186|MAN?SA|1981|5|33.6
17186|MAN?SA|1981|6|40.6
17186|MAN?SA|1981|7|39.4
17186|MAN?SA|1981|8|37.2
17186|MAN?SA|1981|9|34.3
17186|MAN?SA|1981|10|31.2
17186|MAN?SA|1981|11|24.2
17186|MAN?SA|1981|12|19.5
17186|MAN?SA|1981|13|40.6
17186|MAN?SA|1982|1|20.9
17186|MAN?SA|1982|2|19.3
17186|MAN?SA|1982|3|25.4
17186|MAN?SA|1982|4|27.2
17186|MAN?SA|1982|5|33.5
17186|MAN?SA|1982|6|41.8
17186|MAN?SA|1982|7|36.5
17186|MAN?SA|1982|8|37.2
17186|MAN?SA|1982|9|35.6
17186|MAN?SA|1982|10|30.2
17186|MAN?SA|1982|11|22.4
17186|MAN?SA|1982|12|19.0
17186|MAN?SA|1982|13|41.8
17186|MAN?SA|1983|1|16.4
17186|MAN?SA|1983|2|21.6
17186|MAN?SA|1983|3|25.4
17186|MAN?SA|1983|4|31.1
17186|MAN?SA|1983|5|32.2
17186|MAN?SA|1983|6|37.3
17186|MAN?SA|1983|7|38.4
17186|MAN?SA|1983|8|38.4
17186|MAN?SA|1983|9|36.6
17186|MAN?SA|1983|10|29.4
17186|MAN?SA|1983|11|24.5
17186|MAN?SA|1983|12|17.2
17186|MAN?SA|1983|13|38.4
17186|MAN?SA|1984|1|17.3
17186|MAN?SA|1984|2|18.4
17186|MAN?SA|1984|3|23.4
17186|MAN?SA|1984|4|24.7
17186|MAN?SA|1984|5|35.4
17186|MAN?SA|1984|6|37.0
17186|MAN?SA|1984|7|42.3
17186|MAN?SA|1984|8|36.3
17186|MAN?SA|1984|9|37.2
17186|MAN?SA|1984|10|36.0
17186|MAN?SA|1984|11|23.6
17186|MAN?SA|1984|12|16.7
17186|MAN?SA|1984|13|42.3
17186|MAN?SA|1985|1|19.9
17186|MAN?SA|1985|2|21.6
17186|MAN?SA|1985|3|22.6
17186|MAN?SA|1985|4|31.3
17186|MAN?SA|1985|5|33.8
17186|MAN?SA|1985|6|37.5
17186|MAN?SA|1985|7|41.5
17186|MAN?SA|1985|8|43.7
17186|MAN?SA|1985|9|35.6
17186|MAN?SA|1985|10|31.1
17186|MAN?SA|1985|11|25.3
17186|MAN?SA|1985|12|20.4
17186|MAN?SA|1985|13|43.7
17186|MAN?SA|1986|1|19.2
17186|MAN?SA|1986|2|19.7
17186|MAN?SA|1986|3|24.2
17186|MAN?SA|1986|4|29.9
17186|MAN?SA|1986|5|33.8
17186|MAN?SA|1986|6|37.2
17186|MAN?SA|1986|7|39.8
17186|MAN?SA|1986|8|41.4
17186|MAN?SA|1986|9|38.3
17186|MAN?SA|1986|10|28.9
17186|MAN?SA|1986|11|19.6
17186|MAN?SA|1986|12|16.8
17186|MAN?SA|1986|13|41.4
17186|MAN?SA|1987|1|21.2
17186|MAN?SA|1987|2|20.5
17186|MAN?SA|1987|3|23.2
17186|MAN?SA|1987|4|25.3
17186|MAN?SA|1987|5|33.6
17186|MAN?SA|1987|6|38.8
17186|MAN?SA|1987|7|43.9
17186|MAN?SA|1987|8|40.0
17186|MAN?SA|1987|9|36.8
17186|MAN?SA|1987|10|32.2
17186|MAN?SA|1987|11|20.3
17186|MAN?SA|1987|12|22.1
17186|MAN?SA|1987|13|43.9
17186|MAN?SA|1988|1|22.3
17186|MAN?SA|1988|2|17.6
17186|MAN?SA|1988|3|21.0
17186|MAN?SA|1988|4|27.0
17186|MAN?SA|1988|5|34.8
17186|MAN?SA|1988|6|37.5
17186|MAN?SA|1988|7|42.8
17186|MAN?SA|1988|8|39.9
17186|MAN?SA|1988|9|39.3
17186|MAN?SA|1988|10|29.1
17186|MAN?SA|1988|11|21.0
17186|MAN?SA|1988|12|20.8
17186|MAN?SA|1988|13|42.8
17186|MAN?SA|1989|1|13.0
17186|MAN?SA|1989|2|22.5
17186|MAN?SA|1989|3|25.2
17186|MAN?SA|1989|4|32.6
17186|MAN?SA|1989|5|35.4
17186|MAN?SA|1989|6|37.4
17186|MAN?SA|1989|7|39.6
17186|MAN?SA|1989|8|37.9
17186|MAN?SA|1989|9|34.9
17186|MAN?SA|1989|10|28.7
17186|MAN?SA|1989|11|23.4
17186|MAN?SA|1989|12|18.7
17186|MAN?SA|1989|13|39.6
17186|MAN?SA|1990|1|16.7
17186|MAN?SA|1990|2|19.7
17186|MAN?SA|1990|3|25.0
17186|MAN?SA|1990|4|29.2
17186|MAN?SA|1990|5|39.1
17186|MAN?SA|1990|6|38.8
17186|MAN?SA|1990|7|40.0
17186|MAN?SA|1990|8|38.6
17186|MAN?SA|1990|9|37.0
17186|MAN?SA|1990|10|32.6
17186|MAN?SA|1990|11|29.9
17186|MAN?SA|1990|12|19.8
17186|MAN?SA|1990|13|40.0
17186|MAN?SA|1991|1|14.0
17186|MAN?SA|1991|2|19.4
17186|MAN?SA|1991|3|26.1
17186|MAN?SA|1991|4|28.3
17186|MAN?SA|1991|5|31.1
17186|MAN?SA|1991|6|38.4
17186|MAN?SA|1991|7|38.9
