Istasyon_No|Istasyon_Adi|YIL|AY|MINIMUM_NEM
17186|MAN?SA|1978|2|20.0
17186|MAN?SA|1978|3|30.0
17186|MAN?SA|1978|4|33.0
17186|MAN?SA|1978|5|27.0
17186|MAN?SA|1978|6|20.0
17186|MAN?SA|1978|7|22.0
17186|MAN?SA|1978|8|23.0
17186|MAN?SA|1978|9|29.0
17186|MAN?SA|1978|10|32.0
17186|MAN?SA|1978|11|26.0
17186|MAN?SA|1978|12|42.0
17186|MAN?SA|1978|13|20.0
17186|MAN?SA|1979|1|43.0
17186|MAN?SA|1979|2|36.0
17186|MAN?SA|1979|3|25.0
17186|MAN?SA|1979|4|26.0
17186|MAN?SA|1979|5|29.0
17186|MAN?SA|1979|6|19.0
17186|MAN?SA|1979|7|20.0
17186|MAN?SA|1979|8|20.0
17186|MAN?SA|1979|9|22.0
17186|MAN?SA|1979|10|21.0
17186|MAN?SA|1979|11|35.0
17186|MAN?SA|1979|12|37.0
17186|MAN?SA|1979|13|19.0
17186|MAN?SA|1980|1|38.0
17186|MAN?SA|1980|2|35.0
17186|MAN?SA|1980|3|25.0
17186|MAN?SA|1980|4|26.0
17186|MAN?SA|1980|5|19.0
17186|MAN?SA|1980|6|20.0
17186|MAN?SA|1980|7|20.0
17186|MAN?SA|1980|8|20.0
17186|MAN?SA|1980|9|15.0
17186|MAN?SA|1980|10|26.0
17186|MAN?SA|1980|11|43.0
17186|MAN?SA|1980|12|33.0
17186|MAN?SA|1980|13|15.0
17186|MAN?SA|1981|1|42.0
17186|MAN?SA|1981|2|44.0
17186|MAN?SA|1981|3|19.0
17186|MAN?SA|1981|4|25.0
17186|MAN?SA|1981|5|28.0
17186|MAN?SA|1981|6|21.0
17186|MAN?SA|1981|7|16.0
17186|MAN?SA|1981|8|27.0
17186|MAN?SA|1981|9|26.0
17186|MAN?SA|1981|10|28.0
17186|MAN?SA|1981|11|33.0
17186|MAN?SA|1981|12|39.0
17186|MAN?SA|1981|13|16.0
17186|MAN?SA|1982|1|39.0
17186|MAN?SA|1982|2|36.0
17186|MAN?SA|1982|3|34.0
17186|MAN?SA|1982|4|29.0
17186|MAN?SA|1982|5|31.0
17186|MAN?SA|1982|6|23.0
17186|MAN?SA|1982|7|22.0
17186|MAN?SA|1982|8|28.0
17186|MAN?SA|1982|9|26.0
17186|MAN?SA|1982|10|32.0
17186|MAN?SA|1982|11|24.0
17186|MAN?SA|1982|12|35.0
17186|MAN?SA|1982|13|22.0
17186|MAN?SA|1983|1|37.0
17186|MAN?SA|1983|2|20.0
17186|MAN?SA|1983|3|30.0
17186|MAN?SA|1983|4|22.0
17186|MAN?SA|1983|5|20.0
17186|MAN?SA|1983|6|18.0
17186|MAN?SA|1983|7|25.0
17186|MAN?SA|1983|8|24.0
