Istasyon_No|Istasyon_Adi|YIL|AY|ORTALAMA_SICAKLIK_?C
17186|MAN?SA|1979|12|7.8
17186|MAN?SA|1979|13|16.9
17186|MAN?SA|1980|1|5.1
17186|MAN?SA|1980|2|6.4
17186|MAN?SA|1980|3|8.8
17186|MAN?SA|1980|4|13.1
17186|MAN?SA|1980|5|18.4
17186|MAN?SA|1980|6|23.6
17186|MAN?SA|1980|7|28.0
17186|MAN?SA|1980|8|26.9
17186|MAN?SA|1980|9|21.8
17186|MAN?SA|1980|10|19.1
17186|MAN?SA|1980|11|13.3
17186|MAN?SA|1980|12|8.9
17186|MAN?SA|1980|13|16.2
17186|MAN?SA|1981|1|6.4
17186|MAN?SA|1981|2|6.9
17186|MAN?SA|1981|3|12.4
17186|MAN?SA|1981|4|15.3
17186|MAN?SA|1981|5|18.3
17186|MAN?SA|1981|6|26.7
17186|MAN?SA|1981|7|26.8
17186|MAN?SA|1981|8|26.7
17186|MAN?SA|1981|9|23.4
17186|MAN?SA|1981|10|20.1
17186|MAN?SA|1981|11|9.9
17186|MAN?SA|1981|12|12.3
17186|MAN?SA|1981|13|17.2
17186|MAN?SA|1982|1|7.8
17186|MAN?SA|1982|2|5.1
17186|MAN?SA|1982|3|8.9
17186|MAN?SA|1982|4|14.1
17186|MAN?SA|1982|5|18.8
17186|MAN?SA|1982|6|25.1
17186|MAN?SA|1982|7|25.7
17186|MAN?SA|1982|8|26.5
17186|MAN?SA|1982|9|24.6
17186|MAN?SA|1982|10|17.6
17186|MAN?SA|1982|11|10.4
17186|MAN?SA|1982|12|8.9
17186|MAN?SA|1982|13|16.2
17186|MAN?SA|1983|1|4.5
17186|MAN?SA|1983|2|6.0
17186|MAN?SA|1983|3|10.1
17186|MAN?SA|1983|4|16.7
17186|MAN?SA|1983|5|20.6
17186|MAN?SA|1983|6|23.7
17186|MAN?SA|1983|7|27.1
17186|MAN?SA|1983|8|25.4
17186|MAN?SA|1983|9|22.2
17186|MAN?SA|1983|10|16.4
17186|MAN?SA|1983|11|11.8
17186|MAN?SA|1983|12|8.7
17186|MAN?SA|1983|13|16.1
17186|MAN?SA|1984|1|7.6
17186|MAN?SA|1984|2|8.2
17186|MAN?SA|1984|3|10.2
17186|MAN?SA|1984|4|12.9
17186|MAN?SA|1984|5|21.3
17186|MAN?SA|1984|6|24.4
17186|MAN?SA|1984|7|26.5
17186|MAN?SA|1984|8|25.0
17186|MAN?SA|1984|9|24.1
17186|MAN?SA|1984|10|18.8
17186|MAN?SA|1984|11|12.3
17186|MAN?SA|1984|12|6.5
17186|MAN?SA|1984|13|16.5
17186|MAN?SA|1985|1|9.7
17186|MAN?SA|1985|2|4.2
17186|MAN?SA|1985|3|10.0
17186|MAN?SA|1985|4|16.5
17186|MAN?SA|1985|5|22.1
17186|MAN?SA|1985|6|24.9
17186|MAN?SA|1985|7|26.8
17186|MAN?SA|1985|8|28.0
17186|MAN?SA|1985|9|23.2
17186|MAN?SA|1985|10|15.4
17186|MAN?SA|1985|11|13.8
17186|MAN?SA|1985|12|7.9
17186|MAN?SA|1985|13|17.0
17186|MAN?SA|1986|1|8.8
17186|MAN?SA|1986|2|9.3
17186|MAN?SA|1986|3|9.9
17186|MAN?SA|1986|4|17.2
17186|MAN?SA|1986|5|19.7
17186|MAN?SA|1986|6|25.1
17186|MAN?SA|1986|7|27.8
17186|MAN?SA|1986|8|28.6
17186|MAN?SA|1986|9|24.3
17186|MAN?SA|1986|10|16.7
17186|MAN?SA|1986|11|9.1
17186|MAN?SA|1986|12|6.5
17186|MAN?SA|1986|13|17.0
17186|MAN?SA|1987|1|8.0
17186|MAN?SA|1987|2|8.1
17186|MAN?SA|1987|3|6.1
17186|MAN?SA|1987|4|12.9
17186|MAN?SA|1987|5|18.6
17186|MAN?SA|1987|6|25.0
17186|MAN?SA|1987|7|28.9
17186|MAN?SA|1987|8|26.6
17186|MAN?SA|1987|9|24.5
17186|MAN?SA|1987|10|16.5
17186|MAN?SA|1987|11|10.9
17186|MAN?SA|1987|12|7.4
17186|MAN?SA|1987|13|16.2
17186|MAN?SA|1988|1|7.1
17186|MAN?SA|1988|2|7.4
17186|MAN?SA|1988|3|9.6
17186|MAN?SA|1988|4|14.2
17186|MAN?SA|1988|5|20.6
17186|MAN?SA|1988|6|25.7
17186|MAN?SA|1988|7|29.7
17186|MAN?SA|1988|8|28.2
17186|MAN?SA|1988|9|23.3
17186|MAN?SA|1988|10|16.7
17186|MAN?SA|1988|11|9.2
17186|MAN?SA|1988|12|8.0
17186|MAN?SA|1988|13|16.7
17186|MAN?SA|1989|1|4.5
17186|MAN?SA|1989|2|7.8
17186|MAN?SA|1989|3|12.0
17186|MAN?SA|1989|4|18.9
17186|MAN?SA|1989|5|19.2
17186|MAN?SA|1989|6|24.2
17186|MAN?SA|1989|7|27.4
17186|MAN?SA|1989|8|27.8
17186|MAN?SA|1989|9|23.3
17186|MAN?SA|1989|10|16.4
17186|MAN?SA|1989|11|10.7
17186|MAN?SA|1989|12|6.3
17186|MAN?SA|1989|13|16.6
17186|MAN?SA|1990|1|4.0
17186|MAN?SA|1990|2|8.2
17186|MAN?SA|1990|3|12.0
17186|MAN?SA|1990|4|15.5
17186|MAN?SA|1990|5|19.9
17186|MAN?SA|1990|6|24.6
17186|MAN?SA|1990|7|28.4
17186|MAN?SA|1990|8|27.2
17186|MAN?SA|1990|9|22.4
17186|MAN?SA|1990|10|18.1
17186|MAN?SA|1990|11|14.3
17186|MAN?SA|1990|12|9.2
17186|MAN?SA|1990|13|17.0
17186|MAN?SA|1991|1|5.3
17186|MAN?SA|1991|2|7.3
17186|MAN?SA|1991|3|11.7
17186|MAN?SA|1991|4|14.5
17186|MAN?SA|1991|5|18.1
17186|MAN?SA|1991|6|25.3
17186|MAN?SA|1991|7|27.4
17186|MAN?SA|1991|8|27.4
17186|MAN?SA|1991|9|22.7
17186|MAN?SA|1991|10|18.0
17186|MAN?SA|1991|11|11.6
17186|MAN?SA|1991|12|4.4
17186|MAN?SA|1991|13|16.2
17186|MAN?SA|1992|1|3.3
17186|MAN?SA|1992|2|4.2
17186|MAN?SA|1992|3|9.2
17186|MAN?SA|1992|4|14.9
17186|MAN?SA|1992|5|19.4
17186|MAN?SA|1992|6|25.1
17186|MAN?SA|1992|7|26.2
17186|MAN?SA|1992|8|28.9
17186|MAN?SA|1992|9|22.7
17186|MAN?SA|1992|10|20.9
17186|MAN?SA|1992|11|10.8
17186|MAN?SA|1992|12|5.1
17186|MAN?SA|1992|13|15.9
17186|MAN?SA|1993|1|4.5
17186|MAN?SA|1993|2|4.9
17186|MAN?SA|1993|3|9.8
17186|MAN?SA|1993|4|14.6
17186|MAN?SA|1993|5|19.1
17186|MAN?SA|1993|6|25.4
17186|MAN?SA|1993|7|27.6
17186|MAN?SA|1993|8|28.0
17186|MAN?SA|1993|9|23.5
17186|MAN?SA|1993|10|19.8
17186|MAN?SA|1993|11|10.8
17186|MAN?SA|1993|12|9.7
17186|MAN?SA|1993|13|16.6
17186|MAN?SA|1994|1|8.2
17186|MAN?SA|1994|2|7.3
17186|MAN?SA|1994|3|10.4
17186|MAN?SA|1994|4|16.6
17186|MAN?SA|1994|5|21.2
17186|MAN?SA|1994|6|24.9
17186|MAN?SA|1994|7|28.6
17186|MAN?SA|1994|8|28.9
17186|MAN?SA|1994|9|27.1
17186|MAN?SA|1994|10|20.1
17186|MAN?SA|1994|11|10.5
17186|MAN?SA|1994|12|6.0
17186|MAN?SA|1994|13|17.5
17186|MAN?SA|1995|1|8.1
17186|MAN?SA|1995|2|9.6
17186|MAN?SA|1995|3|10.9
17186|MAN?SA|1995|4|13.6
17186|MAN?SA|1995|5|20.4
17186|MAN?SA|1995|6|27.5
17186|MAN?SA|1995|7|27.8
17186|MAN?SA|1995|8|27.2
17186|MAN?SA|1995|9|23.5
17186|MAN?SA|1995|10|16.4
17186|MAN?SA|1995|11|8.2
17186|MAN?SA|1995|12|9.3
17186|MAN?SA|1995|13|16.9
17186|MAN?SA|1996|1|5.1
17186|MAN?SA|1996|2|8.5
17186|MAN?SA|1996|3|8.2
17186|MAN?SA|1996|4|13.0
17186|MAN?SA|1996|5|22.2
17186|MAN?SA|1996|6|25.8
17186|MAN?SA|1996|7|28.2
17186|MAN?SA|1996|8|27.6
17186|MAN?SA|1996|9|21.9
17186|MAN?SA|1996|10|15.7
17186|MAN?SA|1996|11|12.8
17186|MAN?SA|1996|12|11.3
17186|MAN?SA|1996|13|16.7
17186|MAN?SA|1997|1|7.4
17186|MAN?SA|1997|2|6.7
17186|MAN?SA|1997|3|8.4
17186|MAN?SA|1997|4|10.8
17186|MAN?SA|1997|5|21.6
17186|MAN?SA|1997|6|25.9
17186|MAN?SA|1997|7|28.1
17186|MAN?SA|1997|8|25.6
17186|MAN?SA|1997|9|21.5
17186|MAN?SA|1997|10|16.9
17186|MAN?SA|1997|11|11.9
17186|MAN?SA|1997|12|8.1
17186|MAN?SA|1997|13|16.1
17186|MAN?SA|1998|1|5.6
17186|MAN?SA|1998|2|8.4
17186|MAN?SA|1998|3|8.1
17186|MAN?SA|1998|4|16.3
17186|MAN?SA|1998|5|19.0
17186|MAN?SA|1998|6|25.7
17186|MAN?SA|1998|7|29.0
17186|MAN?SA|1998|8|29.4
17186|MAN?SA|1998|9|23.1
17186|MAN?SA|1998|10|18.3
17186|MAN?SA|1998|11|13.1
17186|MAN?SA|1998|12|8.0
17186|MAN?SA|1998|13|17.0
17186|MAN?SA|1999|1|7.6
17186|MAN?SA|1999|2|7.6
17186|MAN?SA|1999|3|10.8
17186|MAN?SA|1999|4|15.8
17186|MAN?SA|1999|5|21.8
17186|MAN?SA|1999|6|26.2
17186|MAN?SA|1999|7|29.2
17186|MAN?SA|1999|8|28.8
17186|MAN?SA|1999|9|24.1
17186|MAN?SA|1999|10|18.9
17186|MAN?SA|1999|11|12.5
17186|MAN?SA|1999|12|9.4
17186|MAN?SA|1999|13|17.8
17186|MAN?SA|2000|1|3.6
17186|MAN?SA|2000|2|6.9
17186|MAN?SA|2000|3|9.2
17186|MAN?SA|2000|4|16.4
17186|MAN?SA|2000|5|20.8
17186|MAN?SA|2000|6|26.1
17186|MAN?SA|2000|7|29.8
17186|MAN?SA|2000|8|28.4
17186|MAN?SA|2000|9|23.7
17186|MAN?SA|2000|10|17.1
17186|MAN?SA|2000|11|12.6
17186|MAN?SA|2000|12|8.1
17186|MAN?SA|2000|13|16.9
17186|MAN?SA|2001|1|8.3
17186|MAN?SA|2001|2|8.5
17186|MAN?SA|2001|3|15.4
17186|MAN?SA|2001|4|15.3
17186|MAN?SA|2001|5|20.3
17186|MAN?SA|2001|6|26.2
17186|MAN?SA|2001|7|30.0
17186|MAN?SA|2001|8|29.5
17186|MAN?SA|2001|9|23.8
17186|MAN?SA|2001|10|19.0
17186|MAN?SA|2001|11|11.2
17186|MAN?SA|2001|12|6.5
17186|MAN?SA|2001|13|17.9
17186|MAN?SA|2002|1|4.6
17186|MAN?SA|2002|2|9.8
17186|MAN?SA|2002|3|11.7
17186|MAN?SA|2002|4|14.3
17186|MAN?SA|2002|5|20.6
17186|MAN?SA|2002|6|26.3
17186|MAN?SA|2002|7|29.0
17186|MAN?SA|2002|8|27.8
17186|MAN?SA|2002|9|22.0
17186|MAN?SA|2002|10|17.1
17186|MAN?SA|2002|11|11.3
17186|MAN?SA|2002|12|5.9
17186|MAN?SA|2002|13|16.7
17186|MAN?SA|2003|1|10.0
17186|MAN?SA|2003|2|4.0
17186|MAN?SA|2003|3|7.6
17186|MAN?SA|2003|4|12.5
17186|MAN?SA|2003|5|22.3
17186|MAN?SA|2003|6|27.3
17186|MAN?SA|2003|7|28.4
17186|MAN?SA|2003|8|28.9
17186|MAN?SA|2003|9|22.6
17186|MAN?SA|2003|10|19.2
17186|MAN?SA|2003|11|10.9
17186|MAN?SA|2003|12|7.4
17186|MAN?SA|2003|13|16.8
17186|MAN?SA|2004|1|6.1
17186|MAN?SA|2004|2|6.9
17186|MAN?SA|2004|3|11.7
