Istasyon_No|Istasyon_Adi|YIL|AY|AYLIK_TOPLAM_YAGIS_mm_Manuel
17186|MAN?SA|1978|5|34.5
17186|MAN?SA|1978|6|12.1
17186|MAN?SA|1978|9|87.8
17186|MAN?SA|1978|10|96.8
17186|MAN?SA|1978|11|59.1
17186|MAN?SA|1978|12|51.9
17186|MAN?SA|1978|13|995.1
17186|MAN?SA|1979|1|230.5
17186|MAN?SA|1979|2|87.5
17186|MAN?SA|1979|3|36.1
17186|MAN?SA|1979|4|26.7
17186|MAN?SA|1979|5|47.8
17186|MAN?SA|1979|6|9.0
17186|MAN?SA|1979|7|2.1
17186|MAN?SA|1979|8|17.0
17186|MAN?SA|1979|10|14.3
17186|MAN?SA|1979|11|126.2
17186|MAN?SA|1979|12|145.8
17186|MAN?SA|1979|13|743.0
17186|MAN?SA|1980|1|202.0
17186|MAN?SA|1980|2|28.0
17186|MAN?SA|1980|3|115.2
17186|MAN?SA|1980|4|52.9
17186|MAN?SA|1980|5|65.4
17186|MAN?SA|1980|6|39.9
17186|MAN?SA|1980|8|0.1
17186|MAN?SA|1980|9|1.0
17186|MAN?SA|1980|10|7.5
17186|MAN?SA|1980|11|137.1
17186|MAN?SA|1980|12|215.3
17186|MAN?SA|1980|13|864.4
17186|MAN?SA|1981|1|298.2
17186|MAN?SA|1981|2|62.7
17186|MAN?SA|1981|3|84.9
17186|MAN?SA|1981|4|20.1
17186|MAN?SA|1981|5|49.3
17186|MAN?SA|1981|6|0.1
17186|MAN?SA|1981|9|1.7
17186|MAN?SA|1981|10|8.4
17186|MAN?SA|1981|11|134.3
17186|MAN?SA|1981|12|393.8
17186|MAN?SA|1981|13|1053.5
17186|MAN?SA|1982|1|53.4
17186|MAN?SA|1982|2|76.4
17186|MAN?SA|1982|3|105.2
17186|MAN?SA|1982|4|123.7
17186|MAN?SA|1982|5|52.3
17186|MAN?SA|1982|7|6.7
17186|MAN?SA|1982|10|75.5
17186|MAN?SA|1982|11|58.4
17186|MAN?SA|1982|12|132.9
17186|MAN?SA|1982|13|684.5
17186|MAN?SA|1983|1|69.0
17186|MAN?SA|1983|2|128.9
17186|MAN?SA|1983|3|12.9
17186|MAN?SA|1983|4|60.7
17186|MAN?SA|1983|5|32.8
17186|MAN?SA|1983|6|11.4
17186|MAN?SA|1983|7|23.6
17186|MAN?SA|1983|8|46.3
17186|MAN?SA|1983|9|1.0
17186|MAN?SA|1983|10|15.4
17186|MAN?SA|1983|11|182.6
17186|MAN?SA|1983|12|100.3
17186|MAN?SA|1983|13|684.9
17186|MAN?SA|1984|1|205.5
17186|MAN?SA|1984|2|93.5
17186|MAN?SA|1984|3|117.3
17186|MAN?SA|1984|4|102.5
17186|MAN?SA|1984|5|1.2
17186|MAN?SA|1984|6|1.0
17186|MAN?SA|1984|7|22.0
17186|MAN?SA|1984|8|7.1
17186|MAN?SA|1984|9|0.1
17186|MAN?SA|1984|11|51.2
17186|MAN?SA|1984|12|47.5
17186|MAN?SA|1984|13|648.9
17186|MAN?SA|1985|1|162.3
17186|MAN?SA|1985|2|48.2
17186|MAN?SA|1985|3|79.7
17186|MAN?SA|1985|4|18.1
17186|MAN?SA|1985|5|40.5
17186|MAN?SA|1985|6|5.6
17186|MAN?SA|1985|8|0.3
17186|MAN?SA|1985|10|48.6
17186|MAN?SA|1985|11|143.1
17186|MAN?SA|1985|12|36.8
17186|MAN?SA|1985|13|583.2
17186|MAN?SA|1986|1|215.5
17186|MAN?SA|1986|2|157.2
17186|MAN?SA|1986|3|34.7
17186|MAN?SA|1986|4|50.8
17186|MAN?SA|1986|5|5.0
17186|MAN?SA|1986|6|50.8
17186|MAN?SA|1986|9|5.4
17186|MAN?SA|1986|10|37.6
17186|MAN?SA|1986|11|15.1
17186|MAN?SA|1986|12|219.8
17186|MAN?SA|1986|13|791.9
17186|MAN?SA|1987|1|262.5
17186|MAN?SA|1987|2|55.4
17186|MAN?SA|1987|3|61.0
17186|MAN?SA|1987|4|74.4
17186|MAN?SA|1987|5|13.5
17186|MAN?SA|1987|6|6.0
17186|MAN?SA|1987|8|0.1
17186|MAN?SA|1987|10|13.3
17186|MAN?SA|1987|11|152.0
17186|MAN?SA|1987|12|115.8
17186|MAN?SA|1987|13|754.0
17186|MAN?SA|1988|1|27.6
17186|MAN?SA|1988|2|123.3
17186|MAN?SA|1988|3|163.9
17186|MAN?SA|1988|4|24.6
17186|MAN?SA|1988|5|10.9
17186|MAN?SA|1988|6|0.6
17186|MAN?SA|1988|9|2.7
17186|MAN?SA|1988|10|15.7
17186|MAN?SA|1988|11|116.6
17186|MAN?SA|1988|12|110.4
17186|MAN?SA|1988|13|596.3
17186|MAN?SA|1989|1|0.8
17186|MAN?SA|1989|2|12.1
17186|MAN?SA|1989|3|108.3
17186|MAN?SA|1989|4|9.1
17186|MAN?SA|1989|5|45.7
17186|MAN?SA|1989|6|8.8
17186|MAN?SA|1989|9|7.4
17186|MAN?SA|1989|10|96.1
17186|MAN?SA|1989|11|136.3
17186|MAN?SA|1989|12|180.9
17186|MAN?SA|1989|13|605.5
17186|MAN?SA|1990|1|6.3
17186|MAN?SA|1990|2|59.0
17186|MAN?SA|1990|3|19.9
17186|MAN?SA|1990|4|55.0
17186|MAN?SA|1990|5|15.0
17186|MAN?SA|1990|6|12.6
17186|MAN?SA|1990|8|10.7
17186|MAN?SA|1990|9|19.9
17186|MAN?SA|1990|10|21.1
17186|MAN?SA|1990|11|11.6
17186|MAN?SA|1990|12|245.0
17186|MAN?SA|1990|13|476.1
17186|MAN?SA|1991|1|39.8
17186|MAN?SA|1991|2|40.7
17186|MAN?SA|1991|3|25.2
17186|MAN?SA|1991|4|66.8
17186|MAN?SA|1991|5|124.6
17186|MAN?SA|1991|6|1.7
17186|MAN?SA|1991|7|22.1
17186|MAN?SA|1991|8|0.1
17186|MAN?SA|1991|9|1.2
17186|MAN?SA|1991|10|29.3
17186|MAN?SA|1991|11|25.7
17186|MAN?SA|1991|12|146.7
17186|MAN?SA|1991|13|523.9
17186|MAN?SA|1992|1|0.3
17186|MAN?SA|1992|2|11.9
17186|MAN?SA|1992|3|79.7
17186|MAN?SA|1992|4|46.2
17186|MAN?SA|1992|5|6.4
17186|MAN?SA|1992|6|11.5
17186|MAN?SA|1992|7|48.6
17186|MAN?SA|1992|8|0.2
17186|MAN?SA|1992|10|7.9
17186|MAN?SA|1992|11|109.5
17186|MAN?SA|1992|12|112.3
17186|MAN?SA|1992|13|434.5
17186|MAN?SA|1993|1|52.3
17186|MAN?SA|1993|2|130.3
17186|MAN?SA|1993|3|66.6
17186|MAN?SA|1993|4|62.9
17186|MAN?SA|1993|5|61.0
17186|MAN?SA|1993|6|1.2
17186|MAN?SA|1993|9|0.2
17186|MAN?SA|1993|10|4.5
17186|MAN?SA|1993|11|121.8
17186|MAN?SA|1993|12|151.9
17186|MAN?SA|1993|13|652.7
17186|MAN?SA|1994|1|73.8
17186|MAN?SA|1994|2|81.4
17186|MAN?SA|1994|3|82.1
17186|MAN?SA|1994|4|67.2
17186|MAN?SA|1994|5|28.5
17186|MAN?SA|1994|6|4.3
17186|MAN?SA|1994|10|53.3
17186|MAN?SA|1994|11|87.3
17186|MAN?SA|1994|12|115.4
17186|MAN?SA|1994|13|593.3
17186|MAN?SA|1995|1|203.4
17186|MAN?SA|1995|2|29.8
17186|MAN?SA|1995|3|180.1
17186|MAN?SA|1995|4|84.1
17186|MAN?SA|1995|5|40.6
17186|MAN?SA|1995|6|0.3
17186|MAN?SA|1995|7|5.2
17186|MAN?SA|1995|8|19.3
17186|MAN?SA|1995|9|19.9
17186|MAN?SA|1995|10|5.7
17186|MAN?SA|1995|11|104.8
17186|MAN?SA|1995|12|82.9
17186|MAN?SA|1995|13|776.1
17186|MAN?SA|1996|1|12.6
17186|MAN?SA|1996|2|163.7
17186|MAN?SA|1996|3|39.7
17186|MAN?SA|1996|4|89.0
17186|MAN?SA|1996|5|27.7
17186|MAN?SA|1996|6|0.4
17186|MAN?SA|1996|8|3.8
17186|MAN?SA|1996|9|39.4
17186|MAN?SA|1996|10|18.3
17186|MAN?SA|1996|11|63.6
17186|MAN?SA|1996|12|110.5
17186|MAN?SA|1996|13|568.7
17186|MAN?SA|1997|1|100.7
17186|MAN?SA|1997|2|26.5
17186|MAN?SA|1997|3|118.4
17186|MAN?SA|1997|4|103.7
17186|MAN?SA|1997|5|28.5
17186|MAN?SA|1997|6|7.8
17186|MAN?SA|1997|7|0.7
17186|MAN?SA|1997|8|1.6
17186|MAN?SA|1997|10|112.4
17186|MAN?SA|1997|11|63.0
17186|MAN?SA|1997|12|204.4
17186|MAN?SA|1997|13|767.7
17186|MAN?SA|1998|1|174.4
17186|MAN?SA|1998|2|88.2
17186|MAN?SA|1998|3|119.8
17186|MAN?SA|1998|4|25.0
17186|MAN?SA|1998|5|105.9
17186|MAN?SA|1998|6|2.5
17186|MAN?SA|1998|7|1.8
17186|MAN?SA|1998|9|37.4
17186|MAN?SA|1998|10|46.6
17186|MAN?SA|1998|11|125.9
17186|MAN?SA|1998|12|139.8
17186|MAN?SA|1998|13|867.3
17186|MAN?SA|1999|1|111.4
17186|MAN?SA|1999|2|317.1
17186|MAN?SA|1999|3|92.3
17186|MAN?SA|1999|4|15.7
17186|MAN?SA|1999|5|0.8
17186|MAN?SA|1999|6|7.6
17186|MAN?SA|1999|7|3.1
17186|MAN?SA|1999|8|0.2
17186|MAN?SA|1999|9|0.2
17186|MAN?SA|1999|10|35.0
17186|MAN?SA|1999|11|67.4
17186|MAN?SA|1999|12|114.3
17186|MAN?SA|1999|13|765.1
17186|MAN?SA|2000|1|96.4
17186|MAN?SA|2000|2|127.8
17186|MAN?SA|2000|3|102.4
17186|MAN?SA|2000|4|68.0
17186|MAN?SA|2000|5|4.6
17186|MAN?SA|2000|8|2.6
17186|MAN?SA|2000|10|36.8
17186|MAN?SA|2000|11|94.0
17186|MAN?SA|2000|12|37.7
17186|MAN?SA|2000|13|570.3
17186|MAN?SA|2001|1|74.6
