Istasyon_No|Istasyon_Adi|YIL|AY|MAKSIMUM_NEM
17186|MAN?SA|1976|12|96.0
17186|MAN?SA|1976|13|98.0
17186|MAN?SA|1977|1|96.0
17186|MAN?SA|1977|2|98.0
17186|MAN?SA|1977|3|97.0
17186|MAN?SA|1977|4|98.0
17186|MAN?SA|1977|5|90.0
17186|MAN?SA|1977|6|82.0
17186|MAN?SA|1977|7|77.0
17186|MAN?SA|1977|8|73.0
17186|MAN?SA|1977|9|96.0
17186|MAN?SA|1977|10|98.0
17186|MAN?SA|1977|11|96.0
17186|MAN?SA|1977|12|95.0
17186|MAN?SA|1977|13|98.0
17186|MAN?SA|1978|1|94.0
17186|MAN?SA|1978|2|93.0
17186|MAN?SA|1978|3|96.0
17186|MAN?SA|1978|4|97.0
17186|MAN?SA|1978|5|96.0
17186|MAN?SA|1978|6|77.0
17186|MAN?SA|1978|7|70.0
17186|MAN?SA|1978|8|77.0
17186|MAN?SA|1978|9|97.0
17186|MAN?SA|1978|10|98.0
17186|MAN?SA|1978|11|95.0
17186|MAN?SA|1978|12|98.0
17186|MAN?SA|1978|13|98.0
17186|MAN?SA|1979|1|96.0
17186|MAN?SA|1979|2|96.0
17186|MAN?SA|1979|3|99.0
17186|MAN?SA|1979|4|92.0
17186|MAN?SA|1979|5|96.0
17186|MAN?SA|1979|6|91.0
17186|MAN?SA|1979|7|77.0
17186|MAN?SA|1979|8|75.0
17186|MAN?SA|1979|9|82.0
17186|MAN?SA|1979|10|99.0
17186|MAN?SA|1979|11|96.0
17186|MAN?SA|1979|12|95.0
17186|MAN?SA|1979|13|99.0
17186|MAN?SA|1980|1|97.0
17186|MAN?SA|1980|2|99.0
17186|MAN?SA|1980|3|96.0
17186|MAN?SA|1980|4|94.0
17186|MAN?SA|1980|5|98.0
17186|MAN?SA|1980|6|93.0
17186|MAN?SA|1980|7|83.0
17186|MAN?SA|1980|8|89.0
17186|MAN?SA|1980|9|94.0
17186|MAN?SA|1980|10|99.0
17186|MAN?SA|1980|11|98.0
17186|MAN?SA|1980|12|99.0
17186|MAN?SA|1980|13|99.0
17186|MAN?SA|1981|1|98.0
17186|MAN?SA|1981|2|97.0
17186|MAN?SA|1981|3|96.0
17186|MAN?SA|1981|4|93.0
17186|MAN?SA|1981|5|94.0
17186|MAN?SA|1981|6|79.0
17186|MAN?SA|1981|7|81.0
17186|MAN?SA|1981|8|85.0
17186|MAN?SA|1981|9|92.0
17186|MAN?SA|1981|10|98.0
17186|MAN?SA|1981|11|97.0
17186|MAN?SA|1981|12|98.0
17186|MAN?SA|1981|13|98.0
17186|MAN?SA|1982|1|97.0
17186|MAN?SA|1982|2|95.0
17186|MAN?SA|1982|3|97.0
17186|MAN?SA|1982|4|96.0
17186|MAN?SA|1982|5|92.0
17186|MAN?SA|1982|6|76.0
