Istasyon_No|Istasyon_Adi|YIL|AY|ORTALAMA_TOPRAK_NEMI_20
17298|MARMAR?S|2008|9|23.9
17298|MARMAR?S|2008|10|24.4
17298|MARMAR?S|2008|11|22.5
17298|MARMAR?S|2008|12|24.3
17298|MARMAR?S|2009|1|25.9
17298|MARMAR?S|2009|2|28.0
17298|MARMAR?S|2009|3|24.8
17298|MARMAR?S|2009|4|24.1
17298|MARMAR?S|2009|5|18.8
17298|MARMAR?S|2009|8|14.3
17298|MARMAR?S|2009|9|11.1
17298|MARMAR?S|2009|10|8.8
17298|MARMAR?S|2009|11|14.4
17298|MARMAR?S|2010|3|12.0
17298|MARMAR?S|2010|4|6.8
17298|MARMAR?S|2010|5|5.5
17298|MARMAR?S|2010|6|7.1
17298|MARMAR?S|2010|7|5.6
17298|MARMAR?S|2010|8|5.0
17298|MARMAR?S|2010|9|5.0
17298|MARMAR?S|2010|10|10.0
17298|MARMAR?S|2010|11|10.7
17298|MARMAR?S|2010|12|14.5
17298|MARMAR?S|2011|1|17.9
17298|MARMAR?S|2011|2|17.6
17298|MARMAR?S|2011|3|14.2
17298|MARMAR?S|2011|4|14.6
17298|MARMAR?S|2011|5|10.8
17298|MARMAR?S|2011|6|9.9
17298|MARMAR?S|2011|7|7.2
17298|MARMAR?S|2011|8|6.6
17298|MARMAR?S|2011|9|9.1
17298|MARMAR?S|2011|10|13.5
17298|MARMAR?S|2011|11|10.8
17298|MARMAR?S|2011|12|15.6
17298|MARMAR?S|2016|1|25.5
17298|MARMAR?S|2016|2|24.7
17298|MARMAR?S|2016|3|25.1
17298|MARMAR?S|2016|4|19.4
17298|MARMAR?S|2016|5|21.8
17298|MARMAR?S|2016|6|19.9
17298|MARMAR?S|2016|7|18.9
17298|MARMAR?S|2016|8|18.3
17298|MARMAR?S|2016|9|13.5
17298|MARMAR?S|2016|10|12.3
17298|MARMAR?S|2016|11|16.2
17298|MARMAR?S|2016|12|19.1
17298|MARMAR?S|2017|1|22.8
17298|MARMAR?S|2017|2|21.8
17298|MARMAR?S|2017|3|23.0
17298|MARMAR?S|2017|4|18.9
17298|MARMAR?S|2017|5|14.2
17298|MARMAR?S|2017|6|14.0
17298|MARMAR?S|2017|7|17.9
17298|MARMAR?S|2017|8|24.2
17298|MARMAR?S|2017|9|18.9
17298|MARMAR?S|2017|10|21.0
17298|MARMAR?S|2017|11|24.8
17298|MARMAR?S|2017|12|25.0
17298|MARMAR?S|2018|1|25.9
17298|MARMAR?S|2018|2|25.1
17298|MARMAR?S|2018|3|26.6
17298|MARMAR?S|2018|4|20.9
17298|MARMAR?S|2018|5|23.6
17298|MARMAR?S|2018|6|22.8
17298|MARMAR?S|2018|7|16.4
17298|MARMAR?S|2018|8|15.3
17298|MARMAR?S|2018|9|14.0
17298|MARMAR?S|2018|10|23.6
17298|MARMAR?S|2018|11|23.8
17298|MARMAR?S|2018|12|26.1
17298|MARMAR?S|2019|1|28.6
17298|MARMAR?S|2019|2|27.0
17298|MARMAR?S|2019|3|24.5
17298|MARMAR?S|2019|4|25.9
17298|MARMAR?S|2019|5|19.1
17298|MARMAR?S|2019|6|16.2
17298|MARMAR?S|2019|7|19.8
17298|MARMAR?S|2019|8|11.1
17298|MARMAR?S|2019|9|7.7
17298|MARMAR?S|2019|10|18.5
17298|MARMAR?S|2019|11|23.4
17298|MARMAR?S|2019|12|23.7
17298|MARMAR?S|2020|1|21.8
17298|MARMAR?S|2020|2|24.6
17298|MARMAR?S|2020|3|19.3
17298|MARMAR?S|2020|4|18.7
17298|MARMAR?S|2020|5|14.0
17298|MARMAR?S|2020|7|8.6
17298|MARMAR?S|2020|9|7.0
17298|MARMAR?S|2020|10|8.0
17298|MARMAR?S|2020|11|11.1
17298|MARMAR?S|2020|12|18.6
17298|MARMAR?S|2021|1|20.5
17298|MARMAR?S|2021|2|18.5
17298|MARMAR?S|2021|3|16.9
17298|MARMAR?S|2021|4|13.3
17298|MARMAR?S|2021|5|10.2
17298|MARMAR?S|2021|6|9.5
17824|G?NEY|2007|12|21.6
17824|G?NEY|2008|1|17.9
17824|G?NEY|2008|2|18.0
17824|G?NEY|2008|3|19.5
17824|G?NEY|2008|4|20.0
17824|G?NEY|2008|5|14.1
17824|G?NEY|2008|7|9.6
17824|G?NEY|2008|8|8.0
17824|G?NEY|2008|10|16.2
17824|G?NEY|2008|11|16.4
17824|G?NEY|2008|12|19.7
17824|G?NEY|2009|1|21.7
17824|G?NEY|2009|2|24.6
17824|G?NEY|2009|3|24.8
17824|G?NEY|2009|4|23.0
17824|G?NEY|2009|5|19.0
17824|G?NEY|2009|8|9.0
17824|G?NEY|2009|9|16.2
17824|G?NEY|2009|10|15.6
17824|G?NEY|2009|11|21.5
17824|G?NEY|2009|12|25.0
17824|G?NEY|2010|1|25.5
17824|G?NEY|2010|2|25.7
17824|G?NEY|2010|3|24.5
17824|G?NEY|2010|4|17.2
17824|G?NEY|2010|5|15.5
17824|G?NEY|2010|6|17.5
17824|G?NEY|2010|7|12.9
17824|G?NEY|2010|8|13.3
17824|G?NEY|2010|9|10.4
17824|G?NEY|2010|10|15.6
17824|G?NEY|2010|11|16.5
17824|G?NEY|2010|12|23.0
17824|G?NEY|2011|1|22.5
17824|G?NEY|2011|2|21.8
17824|G?NEY|2011|3|23.6
17824|G?NEY|2011|4|23.4
17824|G?NEY|2011|5|20.2
17824|G?NEY|2011|6|17.6
17824|G?NEY|2011|7|12.8
17824|G?NEY|2011|8|11.1
17824|G?NEY|2011|9|12.4
17824|G?NEY|2011|10|18.3
17824|G?NEY|2011|11|14.2
17824|G?NEY|2011|12|20.0
17824|G?NEY|2016|1|11.5
17824|G?NEY|2016|2|9.1
17824|G?NEY|2016|3|11.9
17824|G?NEY|2016|4|10.2
17824|G?NEY|2016|5|12.4
17824|G?NEY|2016|6|7.8
17824|G?NEY|2016|7|5.5
17824|G?NEY|2016|8|7.0
17824|G?NEY|2016|9|7.7
17824|G?NEY|2016|10|7.7
17824|G?NEY|2016|11|7.9
17824|G?NEY|2016|12|9.9
17824|G?NEY|2017|1|11.1
17824|G?NEY|2017|2|8.7
17824|G?NEY|2017|3|10.8
17824|G?NEY|2017|4|10.5
17824|G?NEY|2017|5|9.9
17824|G?NEY|2017|6|11.3
17824|G?NEY|2017|7|6.4
17824|G?NEY|2017|8|12.2
17824|G?NEY|2017|9|8.9
17824|G?NEY|2017|10|10.9
17824|G?NEY|2017|11|16.8
17824|G?NEY|2017|12|19.4
17824|G?NEY|2018|1|21.1
17824|G?NEY|2018|2|19.5
17824|G?NEY|2018|3|20.3
17824|G?NEY|2018|4|12.9
17824|G?NEY|2018|5|14.6
17824|G?NEY|2018|6|19.8
17824|G?NEY|2018|7|14.4
17824|G?NEY|2018|8|16.1
17824|G?NEY|2018|9|12.2
17824|G?NEY|2018|10|11.6
17824|G?NEY|2018|11|15.0
17824|G?NEY|2018|12|23.2
17824|G?NEY|2019|1|23.1
17824|G?NEY|2019|2|19.6
17824|G?NEY|2019|3|13.6
17824|G?NEY|2019|4|14.1
17824|G?NEY|2019|5|11.9
17824|G?NEY|2019|6|14.6
17824|G?NEY|2019|7|10.2
17824|G?NEY|2019|8|10.0
17824|G?NEY|2019|9|12.3
17824|G?NEY|2019|10|8.8
17824|G?NEY|2019|11|8.3
17824|G?NEY|2019|12|14.7
17824|G?NEY|2020|1|17.4
17824|G?NEY|2020|2|20.8
17824|G?NEY|2020|3|18.8
17824|G?NEY|2020|4|16.7
17824|G?NEY|2020|5|11.6
17824|G?NEY|2020|7|9.5
17824|G?NEY|2020|9|8.8
17824|G?NEY|2020|10|10.9
17824|G?NEY|2020|11|10.3
17824|G?NEY|2021|1|16.7
17824|G?NEY|2021|2|17.3
17824|G?NEY|2021|3|16.3
17824|G?NEY|2021|4|14.7
17824|G?NEY|2021|5|8.6
17824|G?NEY|2021|6|8.3
17860|NAZ?LL?|2007|12|19.7
17860|NAZ?LL?|2008|1|17.2
17860|NAZ?LL?|2008|2|16.7
17860|NAZ?LL?|2008|3|17.6
17860|NAZ?LL?|2008|4|17.7
17860|NAZ?LL?|2008|5|14.0
17860|NAZ?LL?|2008|7|7.3
17860|NAZ?LL?|2008|8|6.0
17860|NAZ?LL?|2008|9|5.4
17860|NAZ?LL?|2008|10|7.8
17860|NAZ?LL?|2008|11|10.2
17860|NAZ?LL?|2008|12|15.3
17860|NAZ?LL?|2009|1|20.8
17860|NAZ?LL?|2009|2|20.9
17860|NAZ?LL?|2009|3|19.9
17860|NAZ?LL?|2009|4|19.8
17860|NAZ?LL?|2009|5|15.3
17860|NAZ?LL?|2009|8|9.9
17860|NAZ?LL?|2009|9|12.0
17860|NAZ?LL?|2009|10|15.2
17860|NAZ?LL?|2009|11|19.3
17860|NAZ?LL?|2009|12|21.1
17860|NAZ?LL?|2010|1|21.2
17860|NAZ?LL?|2010|2|21.3
17860|NAZ?LL?|2010|3|19.3
17860|NAZ?LL?|2010|4|16.7
17860|NAZ?LL?|2010|5|16.8
17860|NAZ?LL?|2010|6|16.1
17860|NAZ?LL?|2010|7|12.9
