Istasyon_No|Istasyon_Adi|YIL|AY|MINIMUM_SICAKLIK_C
17186|MAN?SA|1975|3|-2.4
17186|MAN?SA|1975|4|5.1
17186|MAN?SA|1975|5|7.4
17186|MAN?SA|1975|6|12.4
17186|MAN?SA|1975|7|15.2
17186|MAN?SA|1975|8|12.2
17186|MAN?SA|1975|9|14.1
17186|MAN?SA|1975|10|5.6
17186|MAN?SA|1975|11|0.5
17186|MAN?SA|1975|12|-2.8
17186|MAN?SA|1975|13|-6.0
17186|MAN?SA|1976|1|-5.4
17186|MAN?SA|1976|2|-6.0
17186|MAN?SA|1976|3|-1.6
17186|MAN?SA|1976|4|4.6
17186|MAN?SA|1976|5|8.0
17186|MAN?SA|1976|6|11.2
17186|MAN?SA|1976|7|15.5
17186|MAN?SA|1976|8|14.4
17186|MAN?SA|1976|9|9.2
17186|MAN?SA|1976|10|7.4
17186|MAN?SA|1976|11|-1.5
17186|MAN?SA|1976|12|-1.6
17186|MAN?SA|1976|13|-6.0
17186|MAN?SA|1977|1|-4.6
17186|MAN?SA|1977|2|-1.7
17186|MAN?SA|1977|3|-2.0
17186|MAN?SA|1977|4|3.4
17186|MAN?SA|1977|5|8.0
17186|MAN?SA|1977|6|11.1
17186|MAN?SA|1977|7|16.4
17186|MAN?SA|1977|8|17.0
17186|MAN?SA|1977|9|11.2
17186|MAN?SA|1977|10|3.0
17186|MAN?SA|1977|11|1.4
17186|MAN?SA|1977|12|-4.6
17186|MAN?SA|1977|13|-4.6
17186|MAN?SA|1978|1|-2.2
17186|MAN?SA|1978|2|-1.9
17186|MAN?SA|1978|3|-0.6
17186|MAN?SA|1978|4|2.5
17186|MAN?SA|1978|5|7.6
17186|MAN?SA|1978|6|11.0
17186|MAN?SA|1978|7|16.4
17186|MAN?SA|1978|8|15.6
17186|MAN?SA|1978|9|10.5
17186|MAN?SA|1978|10|7.4
17186|MAN?SA|1978|11|-1.5
17186|MAN?SA|1978|12|-0.3
17186|MAN?SA|1978|13|-2.2
17186|MAN?SA|1979|1|-4.6
17186|MAN?SA|1979|2|-2.4
17186|MAN?SA|1979|3|-1.8
17186|MAN?SA|1979|4|2.2
17186|MAN?SA|1979|5|8.8
17186|MAN?SA|1979|6|14.0
17186|MAN?SA|1979|7|15.4
17186|MAN?SA|1979|8|16.0
17186|MAN?SA|1979|9|10.0
17186|MAN?SA|1979|10|7.1
17186|MAN?SA|1979|11|3.3
17186|MAN?SA|1979|12|-2.3
17186|MAN?SA|1979|13|-4.6
17186|MAN?SA|1980|1|-4.2
17186|MAN?SA|1980|2|-4.4
17186|MAN?SA|1980|3|-4.9
17186|MAN?SA|1980|4|2.1
17186|MAN?SA|1980|5|4.6
17186|MAN?SA|1980|6|10.6
17186|MAN?SA|1980|7|16.1
17186|MAN?SA|1980|8|15.6
17186|MAN?SA|1980|9|9.5
17186|MAN?SA|1980|10|5.6
17186|MAN?SA|1980|11|0.4
17186|MAN?SA|1980|12|-2.0
17186|MAN?SA|1980|13|-4.9
17186|MAN?SA|1981|1|-2.4
17186|MAN?SA|1981|2|-2.5
17186|MAN?SA|1981|3|-1.9
17186|MAN?SA|1981|4|0.6
17186|MAN?SA|1981|5|4.4
17186|MAN?SA|1981|6|14.4
17186|MAN?SA|1981|7|17.0
17186|MAN?SA|1981|8|13.5
17186|MAN?SA|1981|9|11.0
17186|MAN?SA|1981|10|8.4
17186|MAN?SA|1981|11|-1.8
17186|MAN?SA|1981|12|0.8
17186|MAN?SA|1981|13|-2.5
17186|MAN?SA|1982|1|-2.3
17186|MAN?SA|1982|2|-3.9
17186|MAN?SA|1982|3|-2.8
17186|MAN?SA|1982|4|4.6
17186|MAN?SA|1982|5|8.4
17186|MAN?SA|1982|6|12.6
17186|MAN?SA|1982|7|14.3
17186|MAN?SA|1982|8|16.6
17186|MAN?SA|1982|9|13.5
17186|MAN?SA|1982|10|6.9
17186|MAN?SA|1982|11|-1.1
17186|MAN?SA|1982|12|-4.1
17186|MAN?SA|1982|13|-4.1
17186|MAN?SA|1983|1|-5.9
17186|MAN?SA|1983|2|-7.0
17186|MAN?SA|1983|3|-3.5
17186|MAN?SA|1983|4|2.8
17186|MAN?SA|1983|5|7.1
17186|MAN?SA|1983|6|12.7
17186|MAN?SA|1983|7|17.6
17186|MAN?SA|1983|8|15.8
17186|MAN?SA|1983|9|8.4
17186|MAN?SA|1983|10|3.2
17186|MAN?SA|1983|11|-1.0
17186|MAN?SA|1983|12|0.0
