algorithm,feature_combo,name,st_num,dataset,MAE,RMSE,R2,WI
SVR,5,svr_5,17298,train,0.6102274220317309,0.7500651813358077,0.8297176385622712,0.8099385164545325
SVR,5,svr_5,17824,train,0.4728969920358037,0.6066204413575272,0.9257600081782438,0.8777070308018055
SVR,5,svr_5,17886,train,0.5056491841223921,0.6267061835655038,0.8798193676700266,0.8415807307340865
SVR,5,svr_5,17924,train,0.4039435856505775,0.5182527075246015,0.8807423340994441,0.8451614309745454
SVR,5,svr_5,17860,train,0.349611473628893,0.446366659812793,0.9433654401850328,0.895486907867476
SVR,5,svr_5,17186,train,0.431845829771299,0.553496367371687,0.920838772966354,0.8784554728977694
SVR,5,svr_5,17227,train,0.5117059791702567,0.6531598392739019,0.892581349419569,0.8570892070084175
SVR,6,svr_6,17237,test,0.778835181307623,1.0491609131265272,0.4622940948881661,0.6894252540546641
SVR,6,svr_6,17862,test,1.206962865769351,1.496816062277888,0.057952415623258,0.5464217804541259
SVR,6,svr_6,17884,test,0.6943597217142835,0.8944354775666673,0.6933482277065603,0.7576769350744756
SVR,6,svr_6,17296,train,1.213444473691918,1.4769235561310847,0.1762464572704359,0.5745427896796172
SVR,6,svr_6,17298,train,1.1304617908900705,1.4351904517861882,0.3765656522697385,0.6479062767243842
SVR,6,svr_6,17824,train,1.1492927189893858,1.5459392265915204,0.5178427869584371,0.7027885111342875
SVR,6,svr_6,17886,train,0.8301166224019886,1.0671482227039253,0.6515375257931,0.7399254802424832
SVR,6,svr_6,17924,train,0.8744291307455775,1.100984148560498,0.4617732502666447,0.6648161769897786
SVR,6,svr_6,17860,train,1.0219474580340406,1.2935470602448225,0.5243773824657827,0.6944983305968837
SVR,6,svr_6,17186,train,0.5454729547449313,0.7230515520915021,0.8649105315267498,0.8464747190759246
SVR,6,svr_6,17227,train,1.0249337243959458,1.2448999013831277,0.6097799228569716,0.7137534105918562
SVR,7,svr_7,17237,test,0.1992577177044235,0.266297117310785,0.965358751857713,0.9205423476764388
SVR,7,svr_7,17862,test,0.1925724980456921,0.2405041509564944,0.9756790170478316,0.927631004006582
SVR,7,svr_7,17884,test,0.2803228051600852,0.3846189559042291,0.9432966373925346,0.9021707636681382
SVR,7,svr_7,17296,train,0.1083024271483873,0.1490627765513186,0.991608884989472,0.9620270646704696
SVR,7,svr_7,17298,train,0.2317636933625257,0.2980601636511106,0.9731106982893362,0.9278148608173036
SVR,7,svr_7,17824,train,0.1751816257544891,0.2383629473832928,0.9885374477653897,0.9546973621670628
