st_num,date,year,month,latitude,longitude,elevation,min_temp,max_temp,avg_temp,min_hum,max_hum,avg_hum,avg_ws,inc_rad,sun_duration,G,Ra,Rso,Rn,ET0
17296,1986-03-15,1986,3,36.6266,29.1238,3.0,1.2,23.5,12.35,36.0,97.0,66.5,1.121926612751916,17.0498,6.9,0.4095,29.22923344439653,21.92367883730406,7.894506542963476,2.980638789649228
17296,1986-04-15,1986,4,36.6266,29.1238,3.0,6.2,28.2,17.2,21.0,97.0,59.0,1.271516827785505,21.19196,8.5,0.5075000000000002,35.70551947869352,26.781281940188855,11.123506474318882,4.202813402662041
17296,1986-05-15,1986,5,36.6266,29.1238,3.0,9.2,30.0,19.6,27.0,96.0,61.5,1.4959021503358882,23.940848000000003,9.4,0.4620000000000001,40.1246394028975,30.0958870305373,13.389773318958884,5.0922013993681725
17296,1986-06-15,1986,6,36.6266,29.1238,3.0,13.6,34.0,23.8,25.0,88.0,56.5,1.4959021503358882,25.861304,10.9,0.5705,41.72019072158539,31.29264625263233,14.73578439427301,5.938988639476694
17296,1986-07-15,1986,7,36.6266,29.1238,3.0,14.4,41.1,27.75,18.0,91.0,54.5,1.4211070428190935,25.719048000000004,11.6,0.161,40.74015113749315,30.55755776218811,14.401127377601975,6.903024706723448
17296,1986-08-15,1986,8,36.6266,29.1238,3.0,16.0,36.2,26.1,24.0,92.0,58.0,1.271516827785505,23.041288000000005,10.5,-0.1889999999999999,37.05933921142589,27.796727968922102,12.9026959932955,5.550150378376717
17296,1986-09-15,1986,9,36.6266,29.1238,3.0,14.5,35.6,25.05,25.0,95.0,60.0,1.1967217202687106,17.97028,8.3,-0.5635000000000001,31.176363830378104,23.3841434546134,9.415125187426044,4.566541352701429
17296,1986-10-15,1986,10,36.6266,29.1238,3.0,7.1,29.0,18.05,22.0,98.0,60.0,1.271516827785505,14.802992,7.7,-0.8750000000000001,24.01578084169289,18.01327657812017,5.97582886343713,3.379892798205122
17296,1986-11-15,1986,11,36.6266,29.1238,3.0,1.6,23.5,12.55,20.0,97.0,58.5,1.3463119353022994,11.23404,7.3,-0.5460000000000002,18.281233744491463,13.712022182393266,3.0231185768658,2.378866451970078
17296,1986-12-15,1986,12,36.6266,29.1238,3.0,-0.6,21.1,10.25,29.0,97.0,63.0,1.271516827785505,7.393127999999999,4.6,-0.0735,15.667748706345536,11.751751594681531,1.955390225241948,1.860245262839312
17296,1987-01-15,1987,1,36.6266,29.1238,3.0,-0.2,23.2,11.5,27.0,96.0,61.5,1.271516827785505,7.736216000000001,4.8,0.1119999999999999,17.08329571887093,12.813496786896328,2.42432040761637,2.119675448716339
17296,1987-02-15,1987,2,36.6266,29.1238,3.0,1.2,22.5,11.85,28.0,97.0,62.5,1.271516827785505,11.04576,4.9,-0.1189999999999999,22.067243089391603,16.551756351629063,4.417281026474527,2.4113369066625383
17296,1987-03-15,1987,3,36.6266,29.1238,3.0,-0.9,20.5,9.8,32.0,97.0,64.5,1.5706972578526823,16.313416,6.8,0.1994999999999999,29.22923344439653,21.92367883730406,7.670199705904625,3.050968285652647
17296,1987-04-15,1987,4,36.6266,29.1238,3.0,5.6,23.8,14.7,32.0,100.0,66.0,1.4211070428190935,18.648088,6.5,0.5565,35.70551947869352,26.781281940188855,10.23297519219136,3.51902854854564
17296,1987-05-15,1987,5,36.6266,29.1238,3.0,6.5,29.0,17.75,36.0,98.0,67.0,1.271516827785505,23.099864000000004,8.5,0.6720000000000002,40.1246394028975,30.0958870305373,12.83594714586932,4.646609093730586
