st_num,date,year,month,latitude,longitude,elevation,min_temp,max_temp,avg_temp,min_hum,max_hum,avg_hum,avg_ws,inc_rad,sun_duration,G,Ra,Rso,Rn,ET0
17298,1989-06-15,1989,6,36.8395,28.2452,16.0,14.7,33.8,24.25,20.0,88.0,54.0,2.243853225503832,24.359248000000004,11.1,0.3920000000000001,41.73144398814267,31.311937053183208,14.15797840221058,6.43443041859897
17298,1989-07-15,1989,7,36.8395,28.2452,16.0,21.0,37.3,29.15,33.0,92.0,62.5,2.6178287630878043,23.505712,11.4,0.4235000000000001,40.74150325788399,30.569164724455515,14.47040292974604,6.83023231451064
17298,1989-08-15,1989,8,36.8395,28.2452,16.0,21.4,39.2,30.3,23.0,95.0,59.0,1.86987768791986,20.769376,10.5,-0.1994999999999998,37.02541203510744,27.78090715818181,12.62676249057825,6.114831138029989
17298,1989-09-15,1989,9,36.8395,28.2452,16.0,18.6,34.0,26.3,23.0,95.0,59.0,2.094263010470243,17.928440000000002,9.4,-0.7980000000000003,31.10020005038005,23.33510210180116,9.98996757028885,5.067711859924048
17298,1989-10-15,1989,10,36.8395,28.2452,16.0,11.2,26.6,18.9,37.0,96.0,66.5,1.5706972578526823,12.572920000000002,7.3,-0.8120000000000002,23.905221864672864,17.936566069501342,5.797891607587125,3.070863930040315
17298,1989-11-15,1989,11,36.8395,28.2452,16.0,5.4,24.0,14.7,38.0,96.0,67.0,1.3463119353022994,7.907760000000001,4.4,-0.511,18.1540417093174,13.621340575335026,3.0020977803752817,2.235270072089244
17298,1989-12-15,1989,12,36.8395,28.2452,16.0,3.5,19.7,11.6,25.0,97.0,61.0,1.271516827785505,6.418256,4.0,-0.2589999999999999,15.535970820621074,11.656949626128403,2.166675940915198,1.6068055432382873
17298,1990-01-15,1990,1,36.8395,28.2452,16.0,2.0,20.0,11.0,33.0,98.0,65.5,1.1967217202687106,8.552096,5.0,-0.0209999999999999,16.953020658407127,12.720190460416037,2.575498420011722,1.672756619360564
17298,1990-02-15,1990,2,36.8395,28.2452,16.0,3.3,19.3,11.3,26.0,95.0,60.5,1.645492365369477,11.037392,5.9,0.2205,21.948207725233523,16.468179220397218,4.562749059459163,2.207024992554357
17298,1990-03-15,1990,3,36.8395,28.2452,16.0,4.3,24.0,14.15,25.0,95.0,60.0,1.3463119353022994,17.00796,8.3,0.3919999999999999,29.13923571733447,21.8637513434304,8.016280743835665,3.171689471311451
17298,1990-04-15,1990,4,36.8395,28.2452,16.0,8.0,25.8,16.9,19.0,96.0,57.5,1.5706972578526823,17.685768,7.3,0.4830000000000001,35.656960317057504,26.754130465094587,9.870961180042896,3.775699211846843
17298,1990-05-15,1990,5,36.8395,28.2452,16.0,8.1,34.0,21.05,32.0,92.0,62.0,1.86987768791986,22.535024000000003,9.9,0.6020000000000002,40.11666634226359,30.10033708992721,12.430397223876302,6.034823298438709
17298,1990-06-15,1990,6,36.8395,28.2452,16.0,13.0,38.0,25.5,26.0,90.0,58.0,2.094263010470243,24.70652,11.3,0.5529999999999999,41.73144398814267,31.311937053183208,14.0209594368528,7.177243957367527
17298,1990-07-15,1990,7,36.8395,28.2452,16.0,21.1,36.8,28.95,25.0,93.0,59.0,2.1690581179870376,23.836248000000005,11.4,0.2520000000000001,40.74150325788399,30.569164724455515,14.71080315379136,6.451780030983151
17298,1990-08-15,1990,8,36.8395,28.2452,16.0,21.0,37.2,29.1,29.0,88.0,58.5,2.1690581179870376,21.196144000000004,10.7,-0.2414999999999999,37.02541203510744,27.78090715818181,12.606931579517829,6.258156427258806
17298,1990-09-15,1990,9,36.8395,28.2452,16.0,15.6,35.4,25.5,27.0,96.0,61.5,2.094263010470243,18.581144,9.7,-0.4795000000000001,31.10020005038005,23.33510210180116,9.8271903073522,5.468384110106742
17298,1990-10-15,1990,10,36.8395,28.2452,16.0,11.1,33.4,22.25,22.0,96.0,59.0,1.4211070428190935,11.920216,7.2,-0.644,23.905221864672864,17.936566069501342,5.421836528932213,3.711613472193328
17298,1990-11-15,1990,11,36.8395,28.2452,16.0,7.0,25.6,16.3,37.0,98.0,67.5,1.3463119353022994,8.301056,4.6,-0.6475000000000001,18.1540417093174,13.621340575335026,3.0965446104781145,2.346977079089545
17298,1990-12-15,1990,12,36.8395,28.2452,16.0,5.0,21.0,13.0,31.0,98.0,64.5,1.3463119353022994,5.221632,3.2,-0.4620000000000001,15.535970820621074,11.656949626128403,2.249057869562354,1.7517573277152636
17298,1992-01-15,1992,1,36.8395,28.2452,16.0,-1.2,18.3,8.55,30.0,95.0,62.5,1.121926612751916,9.250824,6.0,0.0140000000000002,16.953020658407127,12.720190460416037,2.447775448300902,1.5906591096384315
17298,1992-02-15,1992,2,36.8395,28.2452,16.0,-1.2,20.0,9.4,22.0,98.0,60.0,1.645492365369477,11.44324,5.6,0.1155,21.948207725233523,16.468179220397218,4.430849797690399,2.4820911126880016
17298,1992-03-15,1992,3,36.8395,28.2452,16.0,0.8,19.6,10.2,28.0,95.0,61.5,1.4211070428190935,12.932744000000003,4.9,0.5249999999999999,29.13923571733447,21.8637513434304,6.672597737344882,2.5505323434989986
17298,1992-04-15,1992,4,36.8395,28.2452,16.0,7.0,26.8,16.9,28.0,93.0,60.5,1.795082580403066,19.020464,8.2,0.6405000000000001,35.656960317057504,26.754130465094587,10.27995078375542,4.2494270377475045
17298,1992-05-15,1992,5,36.8395,28.2452,16.0,10.7,28.0,19.35,35.0,95.0,65.0,1.795082580403066,20.493232000000003,8.7,0.6720000000000002,40.11666634226359,30.10033708992721,11.976405696627502,4.562639783957001
17298,1992-06-15,1992,6,36.8395,28.2452,16.0,17.6,35.4,26.5,35.0,95.0,65.0,1.9446727954366547,22.55176,10.4,0.6544999999999999,41.73144398814267,31.311937053183208,13.743601564013897,5.901057885915728
17298,1992-07-15,1992,7,36.8395,28.2452,16.0,18.0,39.4,28.7,27.0,86.0,56.5,2.1690581179870376,22.133360000000003,11.3,0.1575,40.74150325788399,30.569164724455515,13.092883802747425,7.058245506885997
17298,1992-08-15,1992,8,36.8395,28.2452,16.0,19.5,38.0,28.75,33.0,92.0,62.5,1.5706972578526823,19.652248,10.8,-0.2904999999999999,37.02541203510744,27.78090715818181,11.716560446192862,5.6168847097135925
17298,1992-09-15,1992,9,36.8395,28.2452,16.0,13.9,35.2,24.55,22.0,90.0,56.0,1.7202874728862712,18.212952,9.7,-0.5215,31.10020005038005,23.33510210180116,9.309733494737102,5.196489957204504
17298,1992-10-15,1992,10,36.8395,28.2452,16.0,10.4,32.2,21.3,26.0,96.0,61.0,1.271516827785505,12.380456,7.3,-0.5145000000000002,23.905221864672864,17.936566069501342,5.512242186892635,3.413563932289404
17298,1992-11-15,1992,11,36.8395,28.2452,16.0,2.8,31.6,17.2,24.0,98.0,61.0,1.271516827785505,8.292688,5.0,-0.8995000000000002,18.1540417093174,13.621340575335026,2.710499702875007,3.1933844971324343
17298,1992-12-15,1992,12,36.8395,28.2452,16.0,-1.0,17.9,8.45,31.0,98.0,64.5,1.3463119353022994,7.029120000000001,4.6,-0.504,15.535970820621074,11.656949626128403,2.018797385531805,1.7058087594793971
17298,1993-01-15,1993,1,36.8395,28.2452,16.0,0.0,20.0,10.0,16.0,97.0,56.5,1.121926612751916,8.238296,5.1,0.0595000000000001,16.953020658407127,12.720190460416037,2.47651948648676,1.671260606889295
17298,1993-02-15,1993,2,36.8395,28.2452,16.0,-1.2,19.8,9.3,16.0,98.0,57.0,1.7202874728862712,10.48092,5.4,0.1434999999999999,21.948207725233523,16.468179220397218,4.283419808469587,2.480402261284007
17298,1993-03-15,1993,3,36.8395,28.2452,16.0,2.7,21.4,12.05,31.0,97.0,64.0,1.4959021503358882,15.957776,7.8,0.42,29.13923571733447,21.8637513434304,7.697779912228367,2.932219853425733
17298,1993-04-15,1993,4,36.8395,28.2452,16.0,6.0,24.6,15.3,34.0,96.0,65.0,1.7202874728862712,18.26316,7.9,0.742,35.656960317057504,26.754130465094587,10.014349257023964,3.782964397482208
17298,1993-05-15,1993,5,36.8395,28.2452,16.0,12.0,33.3,22.65,37.0,96.0,66.5,1.7202874728862712,20.342608,8.6,0.805,40.11666634226359,30.10033708992721,11.886230542437886,5.222126905928207
17298,1993-06-15,1993,6,36.8395,28.2452,16.0,16.6,37.0,26.8,27.0,93.0,60.0,2.094263010470243,23.957584,11.0,0.5180000000000002,41.73144398814267,31.311937053183208,14.232063559771293,6.646910797742515
17298,1993-07-15,1993,7,36.8395,28.2452,16.0,20.0,40.1,30.05,18.0,82.0,50.0,2.3186483330206267,23.744200000000003,11.7,0.3534999999999998,40.74150325788399,30.569164724455515,14.024199101822456,7.498082001984465
17298,1993-08-15,1993,8,36.8395,28.2452,16.0,21.9,41.8,31.85,20.0,84.0,52.0,1.9446727954366547,20.497416,11.0,-0.3710000000000001,37.02541203510744,27.78090715818181,12.14115472135251,6.824993421466236
17298,1993-09-15,1993,9,36.8395,28.2452,16.0,14.5,35.0,24.75,19.0,90.0,54.5,1.7202874728862712,17.794552000000003,9.7,-0.5844999999999999,31.10020005038005,23.33510210180116,9.226913641711503,5.114404906749909
17298,1993-10-15,1993,10,36.8395,28.2452,16.0,12.8,34.2,23.5,27.0,96.0,61.5,1.4211070428190935,12.610575999999998,7.9,-0.7105000000000001,23.905221864672864,17.936566069501342,5.7382188099893,3.799712901511721
17298,1993-11-15,1993,11,36.8395,28.2452,16.0,4.0,25.2,14.6,19.0,97.0,58.0,1.4959021503358882,8.288504,5.6,-0.8610000000000001,18.1540417093174,13.621340575335026,2.93614019345735,2.636810687290666
17298,1993-12-15,1993,12,36.8395,28.2452,16.0,3.0,19.4,11.2,40.0,98.0,69.0,1.121926612751916,5.832496000000001,3.5,-0.1539999999999999,15.535970820621074,11.656949626128403,2.1909005405201567,1.471899204397611
17298,1994-01-15,1994,1,36.8395,28.2452,16.0,4.8,20.0,12.4,38.0,98.0,68.0,1.121926612751916,6.711136000000001,3.8,-0.0664999999999999,16.953020658407127,12.720190460416037,2.659533127933928,1.5206301486046645
17298,1994-02-15,1994,2,36.8395,28.2452,16.0,1.0,19.5,10.25,34.0,98.0,66.0,1.4959021503358882,10.12528,5.4,0.0875,21.948207725233523,16.468179220397218,4.317097934236437,2.1931217088606987
